일자,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,가중평균
"2016-10-14",KAU16,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-10-14",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-10-14",KCU16,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-10-14",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-10-13",KAU16,"18,000",0,"0.00","18,000","18,000","18,000","8,000","144,000,000","18,000"
"2016-10-13",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-10-13",KCU16,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-10-13",KOC,"18,000",0,"0.00","18,000","18,000","18,000","30,000","540,000,000","18,000"
"2016-10-12",KAU16,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-10-12",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-10-12",KCU16,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-10-12",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-10-11",KAU16,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-10-11",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-10-11",KCU16,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-10-11",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-10-10",KAU16,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-10-10",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-10-10",KCU16,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-10-10",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-10-07",KAU16,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-10-07",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-10-07",KCU16,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-10-07",KOC,"18,000",0,"0.00","18,000","18,000","18,000","50,000","900,000,000","18,000"
"2016-10-06",KAU16,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-10-06",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-10-06",KCU16,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-10-06",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-10-05",KAU16,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-10-05",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-10-05",KCU16,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-10-05",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-10-04",KAU16,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-10-04",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-10-04",KCU16,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-10-04",KOC,"18,000",0,"0.00","18,000","18,000","18,000","1,496","26,928,000","18,000"
"2016-09-30",KAU16,"18,000",500,"2.86","18,000","18,000","18,000","30,000","540,000,000","18,000"
"2016-09-30",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-09-30",KCU16,"18,000",500,"2.86","18,000","18,000","18,000","50,000","900,000,000","18,000"
"2016-09-30",KOC,"18,000",0,"0.00","18,000","18,000","18,000","80,000","1,440,000,000","18,000"
"2016-09-29",KAU16,"17,500",0,"0.00","0","0","0","0","0","0"
"2016-09-29",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-09-29",KCU16,"17,500",0,"0.00","0","0","0","0","0","0"
"2016-09-29",KOC,"18,000",0,"0.00","18,000","18,000","18,000","100,000","1,800,000,000","18,000"
"2016-09-28",KAU16,"17,500",0,"0.00","17,500","17,500","17,500","15,000","262,500,000","17,500"
"2016-09-28",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-09-28",KCU16,"17,500",0,"0.00","0","0","0","0","0","0"
"2016-09-28",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-09-27",KAU16,"17,500",0,"0.00","0","0","0","0","0","0"
"2016-09-27",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-09-27",KCU16,"17,500",0,"0.00","0","0","0","0","0","0"
"2016-09-27",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-09-26",KAU16,"17,500",0,"0.00","17,500","17,500","17,500","40,000","700,000,000","17,500"
"2016-09-26",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-09-26",KCU16,"17,500",0,"0.00","0","0","0","0","0","0"
"2016-09-26",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-09-23",KAU16,"17,500",0,"0.00","17,500","17,500","17,500","20,000","350,000,000","17,500"
"2016-09-23",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-09-23",KCU16,"17,500",0,"0.00","0","0","0","0","0","0"
"2016-09-23",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-09-22",KAU16,"17,500",0,"0.00","0","0","0","0","0","0"
"2016-09-22",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-09-22",KCU16,"17,500",0,"0.00","0","0","0","0","0","0"
"2016-09-22",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-09-21",KAU16,"17,500",500,"2.94","17,500","17,500","17,500","25,000","437,500,000","17,500"
"2016-09-21",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-09-21",KCU16,"17,500",0,"0.00","0","0","0","0","0","0"
"2016-09-21",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-09-20",KAU16,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-09-20",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-09-20",KCU16,"17,500",0,"0.00","0","0","0","0","0","0"
"2016-09-20",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-09-19",KAU16,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-09-19",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-09-19",KCU16,"17,500",0,"0.00","0","0","0","0","0","0"
"2016-09-19",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-09-13",KAU16,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-09-13",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-09-13",KCU16,"17,500",0,"0.00","0","0","0","0","0","0"
"2016-09-13",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-09-12",KAU16,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-09-12",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-09-12",KCU16,"17,500",0,"0.00","17,500","17,500","17,500","50,000","875,000,000","17,500"
"2016-09-12",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-09-09",KAU16,"17,000",0,"0.00","0","0","0","45,000","765,000,000","17,000"
"2016-09-09",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-09-09",KCU16,"17,500",0,"0.00","0","0","0","0","0","0"
"2016-09-09",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-09-08",KAU16,"17,000",0,"0.00","0","0","0","45,000","765,000,000","17,000"
"2016-09-08",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-09-08",KCU16,"17,500",0,"0.00","0","0","0","0","0","0"
"2016-09-08",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-09-07",KAU16,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-09-07",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-09-07",KCU16,"17,500",0,"0.00","0","0","0","0","0","0"
"2016-09-07",KOC,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-09-06",KAU16,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-09-06",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-09-06",KCU16,"17,500",0,"0.00","0","0","0","0","0","0"
"2016-09-06",KOC,"18,000",1000,"5.88","18,000","18,000","18,000","20,000","360,000,000","18,000"
"2016-09-05",KAU16,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-09-05",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-09-05",KCU16,"17,500",0,"0.00","0","0","0","0","0","0"
"2016-09-05",KOC,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-09-02",KAU16,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-09-02",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-09-02",KCU16,"17,500",-500,"-2.78","0","0","0","0","0","0"
"2016-09-02",KOC,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-09-01",KAU16,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-09-01",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-09-01",KCU16,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-09-01",KOC,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-08-31",KAU16,"17,000",0,"0.00","0","0","0","61,894","1,052,198,000","17,000"
"2016-08-31",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-08-31",KCU16,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-08-31",KOC,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-08-30",KAU16,"17,000",0,"0.00","17,000","17,000","17,000","99,660","1,694,220,000","17,000"
"2016-08-30",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-08-30",KCU16,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-08-30",KOC,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-08-29",KAU16,"17,000",0,"0.00","17,000","17,000","17,000","50,000","850,000,000","17,000"
"2016-08-29",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-08-29",KCU16,"18,000",0,"0.00","0","0","0","0","0","0"
"2016-08-29",KOC,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-08-26",KAU16,"17,000",0,"0.00","17,000","17,000","17,000","30,000","510,000,000","17,000"
"2016-08-26",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-08-26",KCU16,"18,000",-500,"-2.70","0","0","0","0","0","0"
"2016-08-26",KOC,"17,000",500,"3.03","0","0","0","0","0","0"
"2016-08-25",KAU16,"17,000",0,"0.00","17,000","17,000","17,000","10,000","170,000,000","17,000"
"2016-08-25",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-08-25",KCU16,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-25",KOC,"16,500",1500,"10.00","0","0","0","0","0","0"
"2016-08-24",KAU16,"17,000",0,"0.00","0","0","0","120,000","2,040,000,000","17,000"
"2016-08-24",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-08-24",KCU16,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-24",KOC,"15,000",-1650,"-9.91","0","0","0","0","0","0"
"2016-08-23",KAU16,"17,000",0,"0.00","17,000","17,000","17,000","30,000","510,000,000","17,000"
"2016-08-23",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-08-23",KCU16,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-23",KOC,"16,650",0,"0.00","0","0","0","0","0","0"
"2016-08-22",KAU16,"17,000",500,"3.03","17,000","17,000","17,000","10,000","170,000,000","17,000"
"2016-08-22",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-08-22",KCU16,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-22",KOC,"16,650",-1850,"-10.00","0","0","0","0","0","0"
"2016-08-19",KAU16,"16,500",0,"0.00","0","0","0","0","0","0"
"2016-08-19",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-08-19",KCU16,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-19",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-18",KAU16,"16,500",0,"0.00","0","0","0","0","0","0"
"2016-08-18",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-08-18",KCU16,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-18",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-17",KAU16,"16,500",0,"0.00","0","0","0","0","0","0"
"2016-08-17",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-08-17",KCU16,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-17",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-16",KAU16,"16,500",0,"0.00","0","0","0","0","0","0"
"2016-08-16",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-08-16",KCU16,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-16",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-12",KAU16,"16,500",0,"0.00","0","0","0","0","0","0"
"2016-08-12",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-08-12",KCU16,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-12",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-11",KAU16,"16,500",-500,"-2.94","16,700","16,700","16,500","15,000","248,500,000","16,567"
"2016-08-11",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-08-11",KCU16,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-11",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-10",KAU16,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-08-10",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-08-10",KCU16,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-10",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-09",KAU16,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-08-09",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-08-09",KCU16,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-09",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-08",KAU16,"17,000",0,"0.00","17,000","17,000","17,000","670","11,390,000","17,000"
"2016-08-08",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-08-08",KCU16,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-08",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-05",KAU16,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-08-05",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-08-05",KCU16,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-05",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-04",KAU16,"17,000",0,"0.00","17,000","17,000","17,000","15,000","255,000,000","17,000"
"2016-08-04",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-08-04",KCU16,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-04",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-03",KAU16,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-08-03",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-08-03",KCU16,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-03",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-02",KAU16,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-08-02",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-08-02",KCU16,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-02",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-01",KAU16,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-08-01",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-08-01",KCU16,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-08-01",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-07-29",KAU16,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-07-29",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-07-29",KCU16,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-07-29",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-07-28",KAU16,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-07-28",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-07-28",KCU16,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-07-28",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-07-27",KAU16,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-07-27",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-07-27",KCU16,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-07-27",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-07-26",KAU16,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-07-26",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-07-26",KCU16,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-07-26",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-07-25",KAU16,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-07-25",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-07-25",KCU16,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-07-25",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-07-22",KAU16,"17,000",0,"0.00","17,000","17,000","17,000","50,000","850,000,000","17,000"
"2016-07-22",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-07-22",KCU16,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-07-22",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-07-21",KAU16,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-07-21",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-07-21",KCU16,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-07-21",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-07-20",KAU16,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-07-20",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-07-20",KCU16,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-07-20",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-07-19",KAU16,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-07-19",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-07-19",KCU16,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-07-19",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-07-18",KAU16,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-07-18",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-07-18",KCU16,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-07-18",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-07-15",KAU16,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-07-15",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-07-15",KCU16,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-07-15",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-07-14",KAU16,"17,000",0,"0.00","0","0","0","0","0","0"
"2016-07-14",KAU17,"7,880",0,"0.00","0","0","0","0","0","0"
"2016-07-14",KCU16,"18,500",0,"0.00","0","0","0","0","0","0"
"2016-07-14",KOC,"18,500",0,"0.00","0","0","0","0","0","0"
