구분,총 전력수요,,,,,,,,,,,,,,,,,,,,,,,
20160101,1191840 ,,,,,,,,,,,,,,,,,,,,,,,
20160102,1218450 ,,,,,,,,,,,,,,,,,,,,,,,
20160103,1219330 ,,,,,,,,,,,,,,,,,,,,,,,
20160104,1502150 ,,,,,,,,,,,,,,,,,,,,,,,
20160105,1540870 ,,,,,,,,,,,,,,,,,,,,,,,
20160106,1520060 ,,,,,,,,,,,,,,,,,,,,,,,
20160107,1548740 ,,,,,,,,,,,,,,,,,,,,,,,
20160108,1560780 ,,,,,,,,,,,,,,,,,,,,,,,
20160109,1436050 ,,,,,,,,,,,,,,,,,,,,,,,
20160110,1316490 ,,,,,,,,,,,,,,,,,,,,,,,
20160111,1552810 ,,,,,,,,,,,,,,,,,,,,,,,
20160112,1581420 ,,,,,,,,,,,,,,,,,,,,,,,
20160113,2709280 ,,,,,,,,,,,,,,,,,,,,,,,
20160114,2747360 ,,,,,,,,,,,,,,,,,,,,,,,
20160115,2740970 ,,,,,,,,,,,,,,,,,,,,,,,
20160116,2902670 ,,,,,,,,,,,,,,,,,,,,,,,
20160117,2823110 ,,,,,,,,,,,,,,,,,,,,,,,
20160118,3049450 ,,,,,,,,,,,,,,,,,,,,,,,
20160119,3126200 ,,,,,,,,,,,,,,,,,,,,,,,
20160120,3127920 ,,,,,,,,,,,,,,,,,,,,,,,
20160121,3015010 ,,,,,,,,,,,,,,,,,,,,,,,
20160122,2893380 ,,,,,,,,,,,,,,,,,,,,,,,
20160123,3043030 ,,,,,,,,,,,,,,,,,,,,,,,
20160124,2960110 ,,,,,,,,,,,,,,,,,,,,,,,
20160125,3182980 ,,,,,,,,,,,,,,,,,,,,,,,
20160126,3174640 ,,,,,,,,,,,,,,,,,,,,,,,
20160127,3154710 ,,,,,,,,,,,,,,,,,,,,,,,
20160128,3040970 ,,,,,,,,,,,,,,,,,,,,,,,
20160129,2905590 ,,,,,,,,,,,,,,,,,,,,,,,
20160130,3046540 ,,,,,,,,,,,,,,,,,,,,,,,
20160131,2968780 ,,,,,,,,,,,,,,,,,,,,,,,
20160201,3185990 ,,,,,,,,,,,,,,,,,,,,,,,
20160202,3212640 ,,,,,,,,,,,,,,,,,,,,,,,
20160203,3186850 ,,,,,,,,,,,,,,,,,,,,,,,
20160204,3105710 ,,,,,,,,,,,,,,,,,,,,,,,
20160205,2900440 ,,,,,,,,,,,,,,,,,,,,,,,
20160206,2960770 ,,,,,,,,,,,,,,,,,,,,,,,
20160207,2767720 ,,,,,,,,,,,,,,,,,,,,,,,
20160208,2669650 ,,,,,,,,,,,,,,,,,,,,,,,
20160209,2697540 ,,,,,,,,,,,,,,,,,,,,,,,
20160210,2762350 ,,,,,,,,,,,,,,,,,,,,,,,
20160211,2877340 ,,,,,,,,,,,,,,,,,,,,,,,
20160212,2875390 ,,,,,,,,,,,,,,,,,,,,,,,
20160213,3019240 ,,,,,,,,,,,,,,,,,,,,,,,
20160214,2934200 ,,,,,,,,,,,,,,,,,,,,,,,
20160215,3144940 ,,,,,,,,,,,,,,,,,,,,,,,
20160216,3119850 ,,,,,,,,,,,,,,,,,,,,,,,
20160217,3011350 ,,,,,,,,,,,,,,,,,,,,,,,
20160218,2820810 ,,,,,,,,,,,,,,,,,,,,,,,
20160219,2640910 ,,,,,,,,,,,,,,,,,,,,,,,
20160220,2437300 ,,,,,,,,,,,,,,,,,,,,,,,
20160221,2353660 ,,,,,,,,,,,,,,,,,,,,,,,
20160222,2628960 ,,,,,,,,,,,,,,,,,,,,,,,
20160223,2902990 ,,,,,,,,,,,,,,,,,,,,,,,
20160224,3066150 ,,,,,,,,,,,,,,,,,,,,,,,
20160225,2927130 ,,,,,,,,,,,,,,,,,,,,,,,
20160226,2825940 ,,,,,,,,,,,,,,,,,,,,,,,
20160227,2954850 ,,,,,,,,,,,,,,,,,,,,,,,
20160228,2792440 ,,,,,,,,,,,,,,,,,,,,,,,
20160229,2945190 ,,,,,,,,,,,,,,,,,,,,,,,
20160301,2862640 ,,,,,,,,,,,,,,,,,,,,,,,
20160302,2984550 ,,,,,,,,,,,,,,,,,,,,,,,
20160303,2850780 ,,,,,,,,,,,,,,,,,,,,,,,
20160304,2749980 ,,,,,,,,,,,,,,,,,,,,,,,
20160305,2849350 ,,,,,,,,,,,,,,,,,,,,,,,
20160306,2747630 ,,,,,,,,,,,,,,,,,,,,,,,
20160307,2976790 ,,,,,,,,,,,,,,,,,,,,,,,
20160308,2974510 ,,,,,,,,,,,,,,,,,,,,,,,
20160309,2978380 ,,,,,,,,,,,,,,,,,,,,,,,
20160310,2842970 ,,,,,,,,,,,,,,,,,,,,,,,
20160311,2715910 ,,,,,,,,,,,,,,,,,,,,,,,
20160312,2782180 ,,,,,,,,,,,,,,,,,,,,,,,
20160313,2570460 ,,,,,,,,,,,,,,,,,,,,,,,
20160314,2893130 ,,,,,,,,,,,,,,,,,,,,,,,
20160315,2905130 ,,,,,,,,,,,,,,,,,,,,,,,
20160316,2887390 ,,,,,,,,,,,,,,,,,,,,,,,
20160317,2771880 ,,,,,,,,,,,,,,,,,,,,,,,
20160318,2645490 ,,,,,,,,,,,,,,,,,,,,,,,
20160319,2726530 ,,,,,,,,,,,,,,,,,,,,,,,
20160320,2653310 ,,,,,,,,,,,,,,,,,,,,,,,
20160321,2843150 ,,,,,,,,,,,,,,,,,,,,,,,
20160322,2860860 ,,,,,,,,,,,,,,,,,,,,,,,
20160323,2854740 ,,,,,,,,,,,,,,,,,,,,,,,
20160324,2730180 ,,,,,,,,,,,,,,,,,,,,,,,
20160325,2593090 ,,,,,,,,,,,,,,,,,,,,,,,
20160326,2685760 ,,,,,,,,,,,,,,,,,,,,,,,
20160327,2583850 ,,,,,,,,,,,,,,,,,,,,,,,
20160328,2745340 ,,,,,,,,,,,,,,,,,,,,,,,
20160329,2789990 ,,,,,,,,,,,,,,,,,,,,,,,
20160330,2767300 ,,,,,,,,,,,,,,,,,,,,,,,
20160331,2622600 ,,,,,,,,,,,,,,,,,,,,,,,
20160401,2501230 ,,,,,,,,,,,,,,,,,,,,,,,
20160402,2605820 ,,,,,,,,,,,,,,,,,,,,,,,
20160403,2537350 ,,,,,,,,,,,,,,,,,,,,,,,
20160404,2706890 ,,,,,,,,,,,,,,,,,,,,,,,
