일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2020/01/02","2175.17","-22.50","-1.02","2201.21","2202.32","2171.84","494678.0","4638167.0","1.461424794E9"
"2019/12/30","2197.67","-6.54","-0.30","2202.62","2208.04","2195.65","416403.0","4113598.0","1.475909366E9"
"2019/12/27","2204.21","6.28","0.29","2183.70","2215.55","2177.40","490168.0","5429665.0","1.480287931E9"
"2019/12/26","2197.93","7.85","0.36","2192.22","2198.01","2183.90","571309.0","4795110.0","1.477949501E9"
"2019/12/24","2190.08","-13.63","-0.62","2206.23","2206.23","2187.58","569968.0","4756455.0","1.472110435E9"
"2019/12/23","2203.71","-0.47","-0.02","2208.22","2209.20","2196.43","502034.0","4734276.0","1.480981911E9"
"2019/12/20","2204.18","7.62","0.35","2205.57","2206.82","2194.80","646683.0","5020843.0","1.481266968E9"
"2019/12/19","2196.56","1.80","0.08","2199.42","2204.73","2186.59","643144.0","5262212.0","1.476809948E9"
"2019/12/18","2194.76","-0.92","-0.04","2194.92","2204.04","2187.32","591106.0","5519070.0","1.476402879E9"
"2019/12/17","2195.68","27.53","1.27","2179.40","2196.01","2171.09","599534.0","6380891.0","1.476694264E9"
"2019/12/16","2168.15","-2.10","-0.10","2168.05","2175.01","2166.29","377054.0","4561208.0","1.457529847E9"
"2019/12/13","2170.25","32.90","1.54","2164.63","2170.25","2159.45","540027.0","6253216.0","1.458776009E9"
"2019/12/12","2137.35","31.73","1.51","2120.13","2138.93","2120.13","584637.0","8339490.0","1.436302524E9"
"2019/12/11","2105.62","7.62","0.36","2098.28","2109.22","2092.48","668731.0","4837221.0","1.414435814E9"
"2019/12/10","2098.00","9.35","0.45","2081.22","2100.48","2080.16","500064.0","4172975.0","1.409366037E9"
"2019/12/09","2088.65","6.80","0.33","2091.94","2093.81","2084.31","393127.0","3982512.0","1.403184169E9"
"2019/12/06","2081.85","21.11","1.02","2072.44","2084.44","2070.17","440188.0","4215044.0","1.3987776E9"
"2019/12/05","2060.74","-8.15","-0.39","2078.31","2084.29","2053.56","472188.0","4625011.0","1.3844028E9"
"2019/12/04","2068.89","-15.18","-0.73","2070.84","2072.91","2057.45","347003.0","5085779.0","1.389618756E9"
