기준일,기준가격,등락가,등락비율,재고량,,,,
2016-01-08,46.76 ,-0.44 ,-0.93 ,0.00 ,,,,
2016-01-15,46.50 ,-0.26 ,-0.56 ,0.00 ,,,,
2016-01-22,46.40 ,-0.10 ,-0.22 ,0.00 ,,,,
2016-01-29,45.65 ,-0.75 ,-1.62 ,0.00 ,,,,
2016-02-05,44.70 ,-0.95 ,-2.08 ,0.00 ,,,,
2016-02-12,45.67 ,0.97 ,2.17 ,0.00 ,,,,
2016-02-19,46.23 ,0.56 ,1.23 ,0.00 ,,,,
2016-02-26,46.09 ,-0.14 ,-0.30 ,0.00 ,,,,
2016-03-04,45.88 ,-0.21 ,-0.46 ,0.00 ,,,,
2016-03-11,45.86 ,-0.02 ,-0.04 ,0.00 ,,,,
2016-03-18,45.92 ,0.06 ,0.13 ,0.00 ,,,,
2016-03-25,45.88 ,-0.04 ,-0.09 ,0.00 ,,,,
2016-04-01,45.00 ,-0.88 ,-1.92 ,0.00 ,,,,
2016-04-08,44.55 ,-0.45 ,-1.00 ,0.00 ,,,,
2016-04-15,44.40 ,-0.15 ,-0.34 ,0.00 ,,,,
2016-04-22,45.07 ,0.67 ,1.51 ,0.00 ,,,,
2016-04-29,45.56 ,0.49 ,1.09 ,0.00 ,,,,
2016-05-06,46.00 ,0.44 ,0.97 ,0.00 ,,,,
2016-05-13,45.80 ,-0.20 ,-0.43 ,0.00 ,,,,
2016-05-20,45.90 ,0.10 ,0.22 ,0.00 ,,,,
2016-05-27,46.20 ,0.30 ,0.65 ,0.00 ,,,,
2016-06-03,46.20 ,0.00 ,0.00 ,0.00 ,,,,
2016-06-10,47.40 ,1.20 ,2.60 ,0.00 ,,,,
2016-06-17,47.48 ,0.08 ,0.17 ,0.00 ,,,,
2016-06-24,47.52 ,0.04 ,0.08 ,0.00 ,,,,
2016-07-01,48.05 ,0.53 ,1.12 ,0.00 ,,,,
2016-07-08,48.55 ,0.50 ,1.04 ,0.00 ,,,,
2016-07-15,49.51 ,0.96 ,1.98 ,0.00 ,,,,
2016-07-22,50.94 ,1.43 ,2.89 ,0.00 ,,,,
2016-07-29,52.16 ,1.22 ,2.39 ,0.00 ,,,,
2016-08-05,54.48 ,2.32 ,4.45 ,0.00 ,,,,
2016-08-12,55.96 ,1.48 ,2.72 ,0.00 ,,,,
2016-08-19,57.35 ,1.39 ,2.48 ,0.00 ,,,,
2016-08-26,58.92 ,1.57 ,2.74 ,0.00 ,,,,
2016-09-02,60.20 ,1.28 ,2.17 ,0.00 ,,,,
2016-09-09,60.46 ,0.26 ,0.43 ,0.00 ,,,,
2016-09-16,61.16 ,0.70 ,1.16 ,0.00 ,,,,
2016-09-23,62.28 ,1.12 ,1.83 ,0.00 ,,,,
2016-09-30,65.23 ,2.95 ,4.74 ,0.00 ,,,,
2016-10-07,67.95 ,2.72 ,4.17 ,0.00 ,,,,
2016-10-14,69.48 ,1.53 ,2.25 ,0.00 ,,,,
2016-10-21,71.65 ,2.17 ,3.12 ,0.00 ,,,,
2016-10-28,78.65 ,7.00 ,9.77 ,0.00 ,,,,
2016-11-04,86.80 ,8.15 ,10.36 ,0.00 ,,,,
2016-11-11,92.60 ,5.80 ,6.68 ,0.00 ,,,,
2016-11-18,93.66 ,1.06 ,1.14 ,0.00 ,,,,
2016-11-25,87.10 ,-6.56 ,-7.00 ,0.00 ,,,,
2016-12-02,83.40 ,-3.70 ,-4.25 ,0.00 ,,,,
2016-12-09,80.80 ,-2.60 ,-3.12 ,0.00 ,,,,
2016-12-16,74.20 ,-6.60 ,-8.17 ,0.00 ,,,,
2016-12-23,73.20 ,-1.00 ,-1.35 ,0.00 ,,,,
2016-12-30,71.92 ,-1.28 ,-1.75 ,0.00 ,,,,
2017-01-06,71.25 ,-0.67 ,-0.93 ,0.00 ,,,,
2017-01-13,71.25 ,0.00 ,0.00 ,0.00 ,,,,
2017-01-20,72.00 ,0.75 ,1.05 ,0.00 ,,,,
2017-01-27,73.50 ,1.50 ,2.08 ,0.00 ,,,,
2017-02-03,74.19 ,0.69 ,0.94 ,0.00 ,,,,
2017-02-10,74.70 ,0.51 ,0.69 ,0.00 ,,,,
2017-02-17,74.20 ,-0.50 ,-0.67 ,0.00 ,,,,
2017-02-24,73.20 ,-1.00 ,-1.35 ,0.00 ,,,,
2017-03-03,74.50 ,1.30 ,1.78 ,0.00 ,,,,
