대상연도,할당여부,업체명,업종명,온실가스 배출량,에너지 사용량,대상연도,최종분류
2012,,(유) 스태츠 칩팩코리아,반도체.디스플레이.전기전자,78478 ,1599 ,2012,산업
2011,,(유) 스태츠 칩팩코리아,반도체.디스플레이.전기전자,75454 ,1447 ,2011,산업
2020,할당,(유)에스케이씨에보닉페록사이드코리아,산업,55013 ,1117 ,2020,산업
2019,할당,(유)에스케이씨에보닉페록사이드코리아,석유화학,53950 ,1124 ,2019,산업
2018,할당,(유)에스케이씨에보닉페록사이드코리아,석유화학,58372 ,1191 ,2018,산업
2017,할당,(유)에스케이씨에보닉페록사이드코리아,석유화학,52368 ,1123 ,2017,산업
2016,,(유)에스케이씨에보닉페록사이드코리아,석유화학,60242 ,1195 ,2016,산업
2015,,(유)에스케이씨에보닉페록사이드코리아,석유화학,58574 ,1145 ,2015,산업
2014,,(유)에스케이씨에보닉페록사이드코리아,석유화학,59304 ,1126 ,2014,산업
2013,,(유)에스케이씨에보닉페록사이드코리아,석유화학,59865 ,1108 ,2013,산업
2012,,(유)에스케이씨에보닉페록사이드코리아,석유화학,47330 ,911 ,2012,산업
2011,,(유)에스케이씨에보닉페록사이드코리아,석유화학,48525 ,894 ,2011,산업
2020,목표,(유)호남고속,교통(여객),21850 ,341 ,2020,수송
2019,목표,(유)호남고속,교통(여객),24809 ,384 ,2019,수송
2018,목표,(유)호남고속,교통(여객),25429 ,393 ,2018,수송
2017,목표,(유)호남고속,교통(여객),24726 ,381 ,2017,수송
2020,할당,(주)HJ매그놀리아용평호텔앤리조트,건물,32772 ,649 ,2020,건물
2019,할당,(주)HJ매그놀리아용평호텔앤리조트,건물,32955 ,653 ,2019,건물
2018,할당,(주)HJ매그놀리아용평호텔앤리조트,건물,32776 ,649 ,2018,건물
2020,할당,(주)HM금속,산업,28355 ,536 ,2020,산업
2019,할당,(주)HM금속,철강,37628 ,654 ,2019,산업
2018,목표,(주)HM금속,철강,34262 ,600 ,2018,산업
2017,목표,(주)HM금속,철강,30616 ,534 ,2017,산업
2020,목표,(주)MH에탄올,음식료품,10345 ,306 ,2020,산업
2019,목표,(주)MH에탄올,음식료품,10062 ,293 ,2019,산업
2018,목표,(주)MH에탄올,음식료품,23436 ,292 ,2018,산업
2017,목표,(주)MH에탄올,음식료품,23319 ,287 ,2017,산업
2016,,(주)MH에탄올,음식료품,23971 ,287 ,2016,산업
2015,,(주)MH에탄올,음식료품,24592 ,302 ,2015,산업
2014,,(주)MH에탄올,음식료품,22984 ,525 ,2014,산업
2020,할당,(주)MSC,산업,28476 ,568 ,2020,산업
2019,할당,(주)MSC,음식료품,27775 ,555 ,2019,산업
2018,할당,(주)MSC,음식료품,26317 ,525 ,2018,산업
2017,할당,(주)MSC,음식료품,25355 ,506 ,2017,산업
2016,,(주)MSC,음식료품,25332 ,506 ,2016,산업
2015,,(주)MSC,음식료품,25204 ,504 ,2015,산업
2014,,(주)MSC,음식료품,25569 ,511 ,2014,산업
2013,,(주)MSC,음식료품,24724 ,494 ,2013,산업
2012,,(주)MSC,음식료품,23297 ,465 ,2012,산업
2011,,(주)MSC,음식료품,24654 ,478 ,2011,산업
2020,할당,(주)SIMPAC,산업,408855 ,4761 ,2020,산업
2019,할당,(주)SIMPAC,철강,463486 ,5067 ,2019,산업
2018,할당,(주)SIMPAC,산업,458521 ,4998 ,2018,산업
2017,할당,(주)SIMPAC,철강,407757 ,4430 ,2017,산업
2016,,(주)SIMPAC,철강,334985 ,3726 ,2016,산업
2015,,(주)SIMPAC,철강,389514 ,4409 ,2015,산업
2014,,(주)SIMPAC,철강,235311 ,2704 ,2014,산업
2013,,(주)SIMPAC,철강,249146 ,2771 ,2013,산업
2012,,(주)SIMPAC,철강,261271 ,2881 ,2012,산업
2011,,(주)SIMPAC,철강,296637 ,2966 ,2011,산업
2017,할당,(주)SPP조선,조선,3396 ,56 ,2017,산업
2016,,(주)SPP조선,조선,50797 ,898 ,2016,산업
2015,,(주)SPP조선,조선,94733 ,1736 ,2015,산업
2014,,(주)SPP조선,조선,115618 ,2124 ,2014,산업
2016,,(주)가든파이브라이프,건물,11114 ,239 ,2016,건물
2015,,(주)가든파이브라이프,건물,13160 ,281 ,2015,건물
2014,,(주)가든파이브라이프,건물,14236 ,301 ,2014,건물
2020,할당,(주)강원랜드,건물,58273 ,1177 ,2020,건물
2019,할당,(주)강원랜드,건물,83321 ,1686 ,2019,건물
2018,할당,(주)강원랜드,건물,76114 ,1534 ,2018,건물
2017,할당,(주)강원랜드,건물,71158 ,1438 ,2017,건물
2016,,(주)강원랜드,건물,71448 ,1403 ,2016,건물
2015,,(주)강원랜드,건물,71204 ,1393 ,2015,건물
2014,,(주)강원랜드,건물,72346 ,1388 ,2014,건물
2013,,(주)강원랜드,건물,78048 ,1495 ,2013,건물
2012,,(주)강원랜드,건물,79294 ,1519 ,2012,건물
2011,,(주)강원랜드,건물,70829 ,1301 ,2011,건물
2020,할당,(주)건화,산업,22139 ,399 ,2020,산업
2019,할당,(주)건화,조선,30632 ,534 ,2019,산업
2018,할당,(주)건화,조선,22213 ,410 ,2018,산업
2017,할당,(주)건화,조선,25198 ,437 ,2017,산업
2016,,(주)건화,조선,29325 ,488 ,2016,산업
2015,,(주)건화,조선,29047 ,485 ,2015,산업
2014,,(주)건화,조선,29603 ,490 ,2014,산업
2020,목표,(주)경기고속,교통(여객),109380 ,1727 ,2020,수송
2019,목표,(주)경기고속,교통(여객),166441 ,2550 ,2019,수송
2018,목표,(주)경기고속,교통(여객),172083 ,2644 ,2018,수송
2017,목표,(주)경기고속,교통(여객),178260 ,2738 ,2017,수송
2016,,(주)경기고속,교통(여객),178894 ,2749 ,2016,수송
2015,,(주)경기고속,교통(여객),179250 ,2784 ,2015,수송
2014,,(주)경기고속,교통(여객),172843 ,2704 ,2014,수송
2013,,(주)경기고속,교통(여객),167058 ,2604 ,2013,수송
2012,,(주)경기고속,교통(여객),164818 ,2528 ,2012,수송
2011,,(주)경기고속,교통(여객),167188 ,2540 ,2011,수송
2020,목표,(주)경남고속,교통(여객),14747 ,208 ,2020,수송
2019,목표,(주)경남고속,교통(여객),26528 ,375 ,2019,수송
2018,목표,(주)경남고속,교통(여객),26354 ,372 ,2018,수송
2017,목표,(주)경남고속,교통(여객),26233 ,371 ,2017,수송
2016,,(주)경남고속,교통(여객),26731 ,378 ,2016,수송
2015,,(주)경남고속,교통(여객),25732 ,364 ,2015,수송
2014,,(주)경남고속,교통(여객),25480 ,361 ,2014,수송
2020,할당,(주)경동,산업,226978 ,407 ,2020,산업
2019,할당,(주)경동,광업,224595 ,395 ,2019,산업
2018,할당,(주)경동,광업,220210 ,401 ,2018,산업
2017,할당,(주)경동,광업,217844 ,387 ,2017,산업
2016,,(주)경동,광업,276458 ,443 ,2016,산업
2015,,(주)경동,광업,284902 ,431 ,2015,산업
2014,,(주)경동,광업,282014 ,426 ,2014,산업
2020,목표,(주)경동원,기계,16844 ,333 ,2020,산업
2019,목표,(주)경동원,기계,16145 ,322 ,2019,산업
2018,목표,(주)경방,섬유,52875 ,1074 ,2018,산업
2017,목표,(주)경방,섬유,59533 ,1208 ,2017,산업
2016,,(주)경방,섬유,63753 ,1291 ,2016,산업
2015,,(주)경방,섬유,67807 ,1373 ,2015,산업
2014,,(주)경방,섬유,66893 ,1355 ,2014,산업
2013,,(주)경방,섬유,68699 ,1386 ,2013,산업
2020,목표,(주)경방 광주공장,섬유,17866 ,364 ,2020,산업
2019,목표,(주)경방 광주공장,섬유,34322 ,695 ,2019,산업
2020,목표,(주)경보제약,석유화학,18313 ,302 ,2020,산업
2019,목표,(주)경보제약,석유화학,19472 ,319 ,2019,산업
2016,,(주)경북코치서비스,교통(여객),61494 ,867 ,2016,수송
2015,,(주)경북코치서비스,교통(여객),57974 ,818 ,2015,수송
2014,,(주)경북코치서비스,교통(여객),55924 ,792 ,2014,수송
2020,목표,(주)경신전선,반도체.디스플레이.전기전자,15281 ,312 ,2020,산업
2019,목표,(주)경신전선,반도체.디스플레이.전기전자,15862 ,324 ,2019,산업
2018,목표,(주)경신전선,반도체.디스플레이.전기전자,15929 ,325 ,2018,산업
2017,목표,(주)경신전선,반도체.디스플레이.전기전자,15435 ,315 ,2017,산업
2016,,(주)경신전선,반도체.디스플레이.전기전자,16078 ,328 ,2016,산업
2015,,(주)경신전선,반도체.디스플레이.전기전자,15866 ,324 ,2015,산업
2014,,(주)경신전선,반도체.디스플레이.전기전자,16192 ,330 ,2014,산업
2020,목표,(주)공항리무진,교통(여객),6755 ,96 ,2020,수송
2019,목표,(주)공항리무진,교통(여객),32171 ,456 ,2019,수송
2018,목표,(주)공항리무진,교통(여객),31011 ,440 ,2018,수송
2020,목표,(주)국민은행,건물,111653 ,1697 ,2020,건물
2019,목표,(주)국민은행,건물,110408 ,1661 ,2019,건물
2018,목표,(주)국민은행,건물,109269 ,1623 ,2018,건물
2017,할당,(주)국민은행,건물,110995 ,1670 ,2017,건물
2016,,(주)국민은행,건물,117495 ,1749 ,2016,건물
2015,,(주)국민은행,건물,121180 ,1828 ,2015,건물
2014,,(주)국민은행,건물,120040 ,1795 ,2014,건물
2013,,(주)국민은행,건물,125714 ,1895 ,2013,건물
2012,,(주)국민은행,건물,129130 ,1995 ,2012,건물
2020,목표,(주)국일방적 정읍공장,섬유,12725 ,261 ,2020,산업
2019,목표,(주)국일방적 정읍공장,섬유,13493 ,277 ,2019,산업
2018,목표,(주)국일방적 정읍공장,섬유,13807 ,283 ,2018,산업
2017,목표,(주)국일방적 정읍공장,섬유,22632 ,465 ,2017,산업
