기준일,기준가격,등락가,등락비율,재고량,,,,,
2016-01-08,33.16 ,-3.88 ,-10.48 ,0.00 ,,,,,
2016-01-15,29.42 ,-3.74 ,-11.28 ,0.00 ,,,,,
2016-01-22,32.19 ,2.77 ,9.42 ,0.00 ,,,,,
2016-01-29,33.62 ,1.43 ,4.44 ,0.00 ,,,,,
2016-02-05,30.89 ,-2.73 ,-8.12 ,0.00 ,,,,,
2016-02-12,29.44 ,-1.45 ,-4.69 ,0.00 ,,,,,
2016-02-19,29.64 ,0.20 ,0.68 ,0.00 ,,,,,
2016-02-26,32.78 ,3.14 ,10.59 ,0.00 ,,,,,
2016-03-04,35.92 ,3.14 ,9.58 ,0.00 ,,,,,
2016-03-11,38.50 ,2.58 ,7.18 ,0.00 ,,,,,
2016-03-18,39.44 ,0.94 ,2.44 ,0.00 ,,,,,
2016-04-01,36.79 ,-2.65 ,-6.72 ,0.00 ,,,,,
2016-04-08,39.72 ,2.93 ,7.96 ,0.00 ,,,,,
2016-04-15,40.36 ,0.64 ,1.61 ,0.00 ,,,,,
2016-04-22,43.73 ,3.37 ,8.35 ,0.00 ,,,,,
2016-04-29,45.92 ,2.19 ,5.01 ,0.00 ,,,,,
2016-05-06,44.66 ,-1.26 ,-2.74 ,0.00 ,,,,,
2016-05-13,46.21 ,1.55 ,3.47 ,0.00 ,,,,,
2016-05-20,47.75 ,1.54 ,3.33 ,0.00 ,,,,,
2016-05-27,49.33 ,1.58 ,3.31 ,0.00 ,,,,,
2016-06-03,48.62 ,-0.71 ,-1.44 ,0.00 ,,,,,
2016-06-10,49.07 ,0.45 ,0.93 ,0.00 ,,,,,
2016-06-17,47.98 ,-1.09 ,-2.22 ,0.00 ,,,,,
2016-06-24,47.64 ,-0.34 ,-0.71 ,0.00 ,,,,,
2016-07-01,48.99 ,1.35 ,2.83 ,0.00 ,,,,,
2016-07-08,45.41 ,-3.58 ,-7.31 ,0.00 ,,,,,
2016-07-15,45.95 ,0.54 ,1.19 ,0.00 ,,,,,
2016-07-22,44.19 ,-1.76 ,-3.83 ,0.00 ,,,,,
2016-07-29,41.60 ,-2.59 ,-5.86 ,0.00 ,,,,,
2016-08-05,41.80 ,0.20 ,0.48 ,0.00 ,,,,,
2016-08-12,44.49 ,2.69 ,6.44 ,0.00 ,,,,,
2016-08-19,48.52 ,4.03 ,9.06 ,0.00 ,,,,,
2016-08-26,47.64 ,-0.88 ,-1.81 ,0.00 ,,,,,
2016-09-02,44.44 ,-3.20 ,-6.72 ,0.00 ,,,,,
2016-09-09,45.88 ,1.44 ,3.24 ,0.00 ,,,,,
2016-09-16,43.03 ,-2.85 ,-6.21 ,0.00 ,,,,,
