일자,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,가중평균
"2019-10-14",KAU19,"32,550",50,"0.15","32,550","32,550","32,550","5,000","162,750,000","32,550"
"2019-10-14",KAU20,"32,000",0,"0.00","0","0","0","0","0","0"
"2019-10-14",KCU19,"31,850",0,"0.00","0","0","0","0","0","0"
"2019-10-14",KOC,"35,600",0,"0.00","0","0","0","0","0","0"
"2019-10-11",KAU19,"32,500",300,"0.93","32,350","32,500","32,300","10,107","327,177,500","32,371"
"2019-10-11",KAU20,"32,000",0,"0.00","0","0","0","0","0","0"
"2019-10-11",KCU19,"31,850",0,"0.00","0","0","0","0","0","0"
"2019-10-11",KOC,"35,600",0,"0.00","0","0","0","0","0","0"
"2019-10-10",KAU19,"32,200",100,"0.31","32,150","32,200","32,150","8,000","257,275,000","32,159"
"2019-10-10",KAU20,"32,000",0,"0.00","0","0","0","0","0","0"
"2019-10-10",KCU19,"31,850",0,"0.00","0","0","0","0","0","0"
"2019-10-10",KOC,"35,600",0,"0.00","0","0","0","0","0","0"
"2019-10-08",KAU19,"32,100",50,"0.16","32,100","32,100","32,100","4,500","144,450,000","32,100"
"2019-10-08",KAU20,"32,000",0,"0.00","0","0","0","0","0","0"
"2019-10-08",KCU19,"31,850",0,"0.00","0","0","0","0","0","0"
"2019-10-08",KOC,"35,600",0,"0.00","0","0","0","0","0","0"
"2019-10-07",KAU19,"32,050",100,"0.31","32,000","32,050","32,000","6,000","192,050,000","32,008"
"2019-10-07",KAU20,"32,000",0,"0.00","0","0","0","0","0","0"
"2019-10-07",KCU19,"31,850",0,"0.00","0","0","0","0","0","0"
"2019-10-07",KOC,"35,600",0,"0.00","0","0","0","0","0","0"
"2019-10-04",KAU19,"31,950",50,"0.16","31,950","31,950","31,950","4,000","127,800,000","31,950"
"2019-10-04",KAU20,"32,000",0,"0.00","0","0","0","0","0","0"
"2019-10-04",KCU19,"31,850",0,"0.00","0","0","0","0","0","0"
"2019-10-04",KOC,"35,600",0,"0.00","0","0","0","0","0","0"
"2019-10-02",KAU19,"31,900",50,"0.16","31,900","31,900","31,900","3,501","111,681,900","31,900"
"2019-10-02",KAU20,"32,000",150,"0.47","0","0","0","0","0","0"
"2019-10-02",KCU19,"31,850",0,"0.00","0","0","0","0","0","0"
"2019-10-02",KOC,"35,600",0,"0.00","0","0","0","0","0","0"
"2019-10-01",KAU19,"31,850",0,"0.00","31,850","31,850","31,850","1,500","47,775,000","31,850"
"2019-10-01",KAU20,"35,100",0,"0.00","0","0","0","0","0","0"
"2019-10-01",KCU19,"31,850",0,"0.00","0","0","0","0","0","0"
"2019-10-01",KOC,"35,600",0,"0.00","0","0","0","0","0","0"
"2019-09-30",KAU18,"35,100",-3900,"-10.00","0","0","0","0","0","0"
"2019-09-30",KAU19,"31,850",0,"0.00","31,850","31,850","31,700","48,823","1,552,042,550","31,789"
"2019-09-30",KAU20,"39,000",0,"0.00","0","0","0","0","0","0"
"2019-09-30",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-09-30",KCU19,"30,800",0,"0.00","0","0","0","0","0","0"
"2019-09-30",KOC,"35,600",0,"0.00","0","0","0","0","0","0"
"2019-09-27",KAU18,"39,000",1000,"2.63","39,000","39,000","39,000","271","10,569,000","39,000"
"2019-09-27",KAU19,"31,850",100,"0.31","31,750","31,850","31,750","28,216","897,979,600","31,825"
"2019-09-27",KAU20,"34,900",0,"0.00","0","0","0","0","0","0"
"2019-09-27",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-09-27",KCU19,"30,800",0,"0.00","0","0","0","0","0","0"
"2019-09-27",KOC,"35,600",0,"0.00","0","0","0","0","0","0"
"2019-09-26",KAU18,"38,000",1000,"2.70","38,000","38,000","38,000","2,528","96,064,000","38,000"
"2019-09-26",KAU19,"31,750",200,"0.63","31,700","32,000","31,600","20,000","633,984,700","31,699"
"2019-09-26",KAU20,"34,900",0,"0.00","0","0","0","0","0","0"
"2019-09-26",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-09-26",KCU19,"30,800",0,"0.00","0","0","0","0","0","0"
"2019-09-26",KOC,"35,600",2100,"6.27","35,600","35,600","35,600","1,080","38,448,000","35,600"
"2019-09-25",KAU18,"37,000",1400,"3.93","36,000","37,000","36,000","16,058","582,101,900","36,250"
"2019-09-25",KAU19,"31,550",0,"0.00","31,550","31,550","31,350","63,399","1,999,638,450","31,541"
"2019-09-25",KAU20,"34,900",0,"0.00","0","0","0","0","0","0"
"2019-09-25",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-09-25",KCU19,"30,800",0,"0.00","0","0","0","0","0","0"
"2019-09-25",KOC,"33,500",0,"0.00","0","0","0","0","0","0"
"2019-09-24",KAU18,"35,600",700,"2.01","35,100","35,600","35,100","8,639","304,636,100","35,263"
"2019-09-24",KAU19,"31,550",150,"0.48","31,500","31,600","31,500","15,500","488,825,000","31,537"
"2019-09-24",KAU20,"34,900",0,"0.00","0","0","0","1,139","35,650,700","31,300"
"2019-09-24",KCU18,"21,800",0,"0.00","0","0","0","0","0","0"
"2019-09-24",KCU19,"30,800",0,"0.00","0","0","0","0","0","0"
"2019-09-24",KOC,"33,500",0,"0.00","0","0","0","0","0","0"
"2019-09-23",KAU18,"34,900",400,"1.16","34,700","34,900","34,700","14,110","490,268,000","34,746"
